Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
2,1,Version Control: Git & GitHub,Watch 'Git Tutorial For Dummies' and code along,Beginner,8,TRUE,Update FALSE to TRUE in the COMPLETED column
2,1,Version Control: Git & GitHub,Follow the steps mentioned in the 'Git Tutorial For Dummies' video and recreate the repository under your GitHub account,Beginner,7,TRUE,https://github.com/saligaros/gitVideo
2,1,Version Control: Git & GitHub,Watch 'Git and GitHub for Beginners - Crash Course',Beginner,7,TRUE,Update FALSE to TRUE in the COMPLETED column
2,1,Version Control: Git & GitHub,Sign up with GitHub,Beginner,9,TRUE,saligaros
2,1,Version Control: Git & GitHub,Set up SSH keys for GitHub,Beginner,8,TRUE,Update FALSE to TRUE in the COMPLETED column
2,1,Version Control: Git & GitHub,Create a (demo-repo) GitHub repository,Beginner,7,TRUE,https://github.com/saligaros/demo-repo
2,1,Version Control: Git & GitHub,Create a profile README on GitHub following this guide: https://docs.github.com/en/account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/managing-your-profile-readme,Beginner,6,TRUE,https://github.com/saligaros/saligaros/blob/main/README.md
2,1,Version Control: Git & GitHub,Update the terms sheet (/user/progress.draft.terms.csv) by giving 1 point to each of the git and CLI terms you've learned through this module,Beginner,9,TRUE,"Make sure to stage, commit and push your changes"
